Customer,Track,Onsitesite_Offsiteshore,Level,Number
Fedex,Monitoring-Tower Lead,Offsite,L4,1
Fedex,Monitoring-IOC,Offsite,L2,8
Fedex,Governance-GIT,Offsite,L3,1
Fedex,Messaging-Exchange,Onsite,L3,1
Fedex,Voice-Legacy Voice,Onsite,L3,1
Fedex,Tools-Schedule Mgmt,Offsite,L1,2
Fedex,Tools-Software Distribution,Offsite,L1,2
Fedex,Service Desk-Service Desk,Onsite,L1,113
Fedex,Database-EFS,Onsite,L3,1
Fedex,Database-Tower Lead,Onsite,L4,1
Fedex,Tools-Capacity Mgmt,Offsite,L2,1
Fedex,Middleware-Track Lead,Offsite,L2,1
Fedex,Voice-Cisco,Offsite,L3,2
Fedex,Tools-Tower Lead,Onsite,L4+,1
Fedex,governance-others,Offsite,L1,1
Fedex,Voice-Track Lead,Offsite,L3,1
Fedex,governance-Management,Onsite,L4,1
Fedex,Tools-Schedule Mgmt,Offsite,L2,4
Fedex,Service Desk-Tower Lead,Onsite,L4,1
Fedex,Service Desk-Service Desk,Onsite,L2,17
Fedex,Monitoring-NOC,Onsite,TP,6
Fedex,Rhythm-Rhythm,Offsite,L1,7
Fedex,Monitoring-Track Lead,Offsite,L3,2
Fedex,Database-Oracle,Offsite,TP,6
Fedex,Monitoring-IOC,Onsite,TP,4
Fedex,Messaging-Exchange,Offsite,L3,2
Fedex,SSB-Storage,Offsite,L2,6
Fedex,Monitoring-IOC,Offsite,TP,13
Fedex,Monitoring-IOC,Offsite,L3,1
Fedex,Tools-Track Lead,Offsite,L2,3
Fedex,Voice-Legacy Voice,Offsite,L2,3
Fedex,SSB-Track Lead,Offsite,L2,1
Fedex,SSB-Storage,Offsite,L3,2
Fedex,Voice-Network Engineer,Onsite,L2,1
Fedex,SSB-Track Lead,Offsite,L3,2
Fedex,Voice-Cisco,Offsite,L1,2
Fedex,Tools-SNOW,Onsite,L3,2
Fedex,Database-Oracle,Offsite,L2,9
Fedex,Database-Sybase,Onsite,L2,1
Fedex,Messaging-Sharepoint,Offsite,L2,1
Fedex,Voice-Cisco,Onsite,L3,3
Fedex,Monitoring-NOC,Offsite,L3,3
Fedex,Monitoring-IOC,Offsite,L1,37
Fedex,Tools-Capacity Mgmt,Offsite,L1,2
Fedex,SSB-Ground Support,Onsite,TP,4
Fedex,Monitoring-NOC,Offsite,L2,15
Fedex,Service Desk-Service Desk,Onsite,L3,4
Fedex,Tools-Capacity Mgmt,Onsite,TP,1
Fedex,Database-MSSQL,Offsite,L2,4
Fedex,Service Desk-Deskside Support,Onsite,L2,7
Fedex,governance-others,Onsite,L3,1
Fedex,Database-EBS,Offsite,L3,2
Fedex,Rhythm-Rhythm,Offsite,L2,2
Fedex,Database-Oracle,Onsite,L3,1
